LINEID,FG_ITEM_CODE,MACHINEID,SEQ,UPDATE_OUT_TIME,PROGRAMID,REWORK_SEQ,IS_SFG,SFG_ITEM_CODE,ENABLE,OUT_SCAN_REQUIRED,IS_LOTCREATE,ROUTE_NAME,TMO_PARTCODE,ISAUTOXRAYSAMPLING,SFGQty
3,FXXXXXXXJODU52240ARC,Loader 3,1,1,,1,0,,1,0,0,FGROUTE1,,0,
MIGF1,FXXXXXXXJODU52240ARC,MI_INPUT,2,1,,2,0,,1,0,0,FGROUTE1,,0,
MIGF1,FXXXXXXXJODU52240ARC,WSM-01,3,1,,3,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXJODU52240ARC,BLT_INPUT,4,1,,4,0,,1,0,0,FGROUTE1,NMNRL3302002J,0,
ARC01,FXXXXXXXJODU52240ARC,APT1,5,1,,5,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXJODU52240ARC,IQF,6,1,,6,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXJODU52240ARC,BT RF TEST,7,1,,7,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXJODU52240ARC,NR RF TEST,8,1,,8,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXJODU52240ARC,ASSY_IN,9,1,,9,0,,1,0,0,FGROUTE1,CMNRL3302002J,0,
ARC01,FXXXXXXXJODU52240ARC,1,10,1,,10,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXJODU52240ARC,AFT1,11,1,,11,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXJODU52240ARC,AFT2,12,1,,12,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXJODU52240ARC,Leakage Test,13,1,,13,0,,1,0,1,FGROUTE1,,0,
ARC01,FXXXXXXXJODU52240ARC,Cosmetic Check,14,1,,14,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXJODU52240ARC,PACK_IN,15,1,,15,0,,1,0,0,FGROUTE1,PMNRL3302002J,0,
ARC01,FXXXXXXXJODU52240ARC,3,16,1,,16,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXJODU52240ARC,Final Visual Inspection,17,1,,17,0,,1,0,0,FGROUTE1,,0,
ARC01,FXXXXXXXJODU52240ARC,WTMACHINE,18,1,,18,0,,1,0,0,FGROUTE1,,0,
