LINEID,FG_ITEM_CODE,MACHINEID,SEQ,UPDATE_OUT_TIME,PROGRAMID,REWORK_SEQ,IS_SFG,SFG_ITEM_CODE,ENABLE,OUT_SCAN_REQUIRED,IS_LOTCREATE,ROUTE_NAME,TMO_PARTCODE,ISAUTOXRAYSAMPLING,SFGQTY,MAXPCB_INTIME
5,FXXXXXXXXJIDU6101ARC,Loader 5B,1,1,JIDU_BOT_NXTIII_LINE_5,1,0,,1,0,0,FGROUTE5,,0,,
5,FXXXXXXXXJIDU6101ARC,SPI 5,2,1,JIDU_BOT_NXTIII_LINE_5,2,0,,1,0,0,FGROUTE5,,0,,
5,FXXXXXXXXJIDU6101ARC,AOI 3D 5,3,1,JIDU_BOT_NXTIII_LINE_5,3,0,,1,0,0,FGROUTE5,,0,,
5,FXXXXXXXXJIDU6101ARC,Loader 5A,4,1,JIDU_TOP_NXTIII_LINE_5,4,0,,1,0,0,FGROUTE5,,0,,
5,FXXXXXXXXJIDU6101ARC,SPI 5,5,1,JIDU_TOP_NXTIII_LINE_5,5,0,,1,0,0,FGROUTE5,,0,,
5,FXXXXXXXXJIDU6101ARC,AOI 3D 5,6,1,JIDU_TOP_NXTIII_LINE_5,6,0,,1,0,1,FGROUTE5,,1,,
SMTQG,FXXXXXXXXJIDU6101ARC,SMTQ5,7,1,JIDU_TOP_NXTIII_LINE_5,6,0,,1,0,0,FGROUTE5,,0,,
MIGF1,FXXXXXXXXJIDU6101ARC,MI_INPUT,8,1,,8,0,,1,0,0,FGROUTE5,,0,,
MIGF1,FXXXXXXXXJIDU6101ARC,WSM-01,9,1,,9,0,,1,0,0,FGROUTE5,,0,,
MIGF1,FXXXXXXXXJIDU6101ARC,MI VISUAL INSPECTION,10,1,,10,0,,1,0,1,FGROUTE5,,0,,
MIQA1,FXXXXXXXXJIDU6101ARC,MIQA1,11,1,,10,0,,1,0,0,FGROUTE5,,0,,
ARC01,FXXXXXXXXJIDU6101ARC,BLT_INPUT,12,1,,12,0,,1,0,0,FGROUTE5,FIZRL33AX001J,0,,
ARC01,FXXXXXXXXJIDU6101ARC,APT1,13,1,,12,0,,1,0,0,FGROUTE5,FIZRL33AX001J,0,,
ARC01,FXXXXXXXXJIDU6101ARC,IQF,14,1,,12,0,,1,0,0,FGROUTE5,,0,,
ARC01,FXXXXXXXXJIDU6101ARC,PDL,15,1,,12,0,,1,0,0,FGROUTE5,,0,,
ARC01,FXXXXXXXXJIDU6101ARC,ASSY_IN,16,1,,12,0,,1,0,0,FGROUTE5,,0,,
ARC01,FXXXXXXXXJIDU6101ARC,1,17,1,,12,0,,1,0,0,FGROUTE5,,0,,
ARC01,FXXXXXXXXJIDU6101ARC,AFT1,18,1,,12,0,,1,0,0,FGROUTE5,FIZRL33AX001J,0,,
ARC01,FXXXXXXXXJIDU6101ARC,AFT2,19,1,,12,0,,1,0,0,FGROUTE5,,0,,
ARC01,FXXXXXXXXJIDU6101ARC,AFT3,20,1,,12,0,,1,0,0,FGROUTE5,,0,,
ARC01,FXXXXXXXXJIDU6101ARC,Cosmetic Check,21,1,,12,0,,1,0,0,FGROUTE5,,0,,
ARC01,FXXXXXXXXJIDU6101ARC,PACK_IN,22,1,,12,0,,1,0,0,FGROUTE5,PIZRL33AX001J,0,,
ARC01,FXXXXXXXXJIDU6101ARC,3,23,1,,22,0,,1,0,0,FGROUTE5,,0,,
ARC01,FXXXXXXXXJIDU6101ARC,Final Visual Inspection,24,1,,22,0,,1,0,0,FGROUTE5,,0,,
OQC3,FXXXXXXXXJIDU6101ARC,FQA1,25,1,,22,0,,1,0,0,FGROUTE5,,0,,
OQC3,FXXXXXXXXJIDU6101ARC,FQA2,26,1,,22,0,,1,0,0,FGROUTE5,,0,,
ARC01,FXXXXXXXXJIDU6101ARC,WTMACHINE,27,1,,22,0,,1,0,0,FGROUTE5,,0,,
