LINEID,FG_ITEM_CODE,MACHINEID,SEQ,UPDATE_OUT_TIME,PROGRAMID,REWORK_SEQ,IS_SFG,SFG_ITEM_CODE,ENABLE,OUT_SCAN_REQUIRED,IS_LOTCREATE,ROUTE_NAME,TMO_PARTCODE,ISAUTOXRAYSAMPLING,SFGQTY,MAXPCB_INTIME,
4,FINTERLOCK4710426700,Loader 4(B),1,1,INTERLOCK_BOT_LINE_4,1,0,,1,0,0,FGROUTE1,,0,,,
4,FINTERLOCK4710426700,SPI 4,2,1,INTERLOCK_BOT_LINE_4,2,0,,1,0,0,FGROUTE1,,0,,,
4,FINTERLOCK4710426700,AOI 3D 4,3,1,INTERLOCK_BOT_LINE_4,3,0,,1,0,0,FGROUTE1,,0,,,
4,FINTERLOCK4710426700,Loader 4(B),4,1,INTERLOCK_TOP_LINE_4,4,0,,1,0,0,FGROUTE1,,0,,,
4,FINTERLOCK4710426700,SPI 4,5,1,INTERLOCK_TOP_LINE_4,5,0,,1,0,0,FGROUTE1,,0,,,
4,FINTERLOCK4710426700,AOI 3D 4,6,1,INTERLOCK_TOP_LINE_4,6,0,,1,0,1,FGROUTE1,,0,,,
SMTQG,FINTERLOCK4710426700,SMTQ4,7,1,INTERLOCK_TOP_LINE_4,6,0,,1,0,0,FGROUTE1,,0,,,
MIGF1,FINTERLOCK4710426700,MI_INPUT,8,1,,8,0,,1,0,0,FGROUTE1,,0,,,
MIGF1,FINTERLOCK4710426700,PALLET BINDING,9,1,,8,0,,1,0,0,FGROUTE1,,0,,,
MIGF1,FINTERLOCK4710426700,WSM-01,10,1,,10,0,,1,0,0,FGROUTE1,,0,,,
MIGF1,FINTERLOCK4710426700,MI VISUAL INSPECTION,11,1,,11,0,,1,0,1,FGROUTE1,,0,,,
MIQA1,FINTERLOCK4710426700,MIQA1,12,1,,11,0,,1,0,0,FGROUTE1,,0,,,
LINEID,FG_ITEM_CODE,MACHINEID,SEQ,UPDATE_OUT_TIME,PROGRAMID,REWORK_SEQ,IS_SFG,SFG_ITEM_CODE,ENABLE,OUT_SCAN_REQUIRED,IS_LOTCREATE,ROUTE_NAME,TMO_PARTCODE,ISAUTOXRAYSAMPLING,SFGQTY,MAXPCB_INTIME,
4,FINTERLOCK4710426700,Loader 4(B),1,1,INTERLOCK_BOT_LINE_4,1,0,,1,0,0,FGROUTE1,,0,,,
4,FINTERLOCK4710426700,SPI 4,2,1,INTERLOCK_BOT_LINE_4,2,0,,1,0,0,FGROUTE1,,0,,,
4,FINTERLOCK4710426700,AOI 3D 4,3,1,INTERLOCK_BOT_LINE_4,3,0,,1,0,0,FGROUTE1,,0,,,
4,FINTERLOCK4710426700,Loader 4(B),4,1,INTERLOCK_TOP_LINE_4,4,0,,1,0,0,FGROUTE1,,0,,,
4,FINTERLOCK4710426700,SPI 4,5,1,INTERLOCK_TOP_LINE_4,5,0,,1,0,0,FGROUTE1,,0,,,
4,FINTERLOCK4710426700,AOI 3D 4,6,1,INTERLOCK_TOP_LINE_4,6,0,,1,0,1,FGROUTE1,,0,,,
SMTQG,FINTERLOCK4710426700,SMTQ4,7,1,INTERLOCK_TOP_LINE_4,6,0,,1,0,0,FGROUTE1,,0,,,
MIGF1,FINTERLOCK4710426700,MI_INPUT,8,1,,8,0,,1,0,0,FGROUTE1,,0,,,
MIGF1,FINTERLOCK4710426700,PALLET BINDING,9,1,,8,0,,1,0,0,FGROUTE1,,0,,,
MIGF1,FINTERLOCK4710426700,WSM-01,10,1,,10,0,,1,0,0,FGROUTE1,,0,,,
MIGF1,FINTERLOCK4710426700,MI VISUAL INSPECTION,11,1,,11,0,,1,0,1,FGROUTE1,,0,,,
MIQA1,FINTERLOCK4710426700,MIQA1,12,1,,11,0,,1,0,0,FGROUTE1,,0,,,
