SITE_CODE,TOOL_ID,TOOL_DESC,QTY,TOOL_TYPE,MAKE,MODEL,EQIPSRNO,USAGERANGE,ACCURACY,CALIBRATIONDATE,ALERTDATE
1111,SSGST-INST-IGI-017,DIGITAL MULTIMETER 600V CAT III,1,Other,FLUKE, FLUKE-101/ESP , 57300753WS ,AC- 750V &10A DC- 1000V & 10A,DC VOLTAGE 0.8%+3 AC VOLTAGE 1%+4 ,03-06-2022,02-05-2023
1111,SSGST-INST-A1-018,EASYCHECK INTEGREATED INSPECTION,1,Other,DIMENSION TECHNOLOGY,EC200KC,ECCBG0340,N/A,N/A,03-06-2022,02-05-2023
1111,SSGST-INST-A1-019,EASYCHECK INTEGREATED INSPECTION,1,Other,DIMENSION TECHNOLOGY,EC200KC,ECCBC0450,N/A,N/A,03-06-2022,02-05-2023
1111,SSGST-INST-A1-020,PRESSURE GAUGE,1,Other,N/A,AR2000,N/A,0.15~0.9  Mpa & 1.5 ~ 9 BAR,0.02Mpa & 0.2 BAR,03-06-2022,02-05-2023
1111,SSGST-INST-A1-021,PRESSURE GAUGE,1,Other,N/A,AR2000,N/A,0.15~0.9  Mpa & 1.5 ~ 9 BAR,0.02Mpa & 0.2 BAR,03-06-2022,02-05-2023
1111,SSGST-INST-A1-022,PRESSURE GAUGE,1,Other,N/A,AR2000,N/A,0.15~0.9  Mpa & 1.5 ~ 9 BAR,0.02Mpa & 0.2 BAR,03-06-2022,02-05-2023
1111,SSGST-INST-A1-023,PRESSURE GAUGE,1,Other,N/A,AR2000,N/A,0.15~0.9  Mpa & 1.5 ~ 9 BAR,0.02Mpa & 0.2 BAR,03-06-2022,02-05-2023
1111,SSGST-INST-A1-024,PRESSURE GAUGE,1,Other,N/A,AR2000,N/A,0.15~0.9  Mpa & 1.5 ~ 9 BAR,0.02Mpa & 0.2 BAR,03-06-2022,02-05-2023
1111,SSGST-INST-A1-025,PRESSURE GAUGE,1,Other,N/A,AR2000,N/A,0.15~0.9  Mpa & 1.5 ~ 9 BAR,0.02Mpa & 0.2 BAR,03-06-2022,02-05-2023
1111,SSGST-INST-A1-026,PRESSURE GAUGE,1,Other,N/A,AR2000,N/A,0.15~0.9  Mpa & 1.5 ~ 9 BAR,0.02Mpa & 0.2 BAR,03-06-2022,02-05-2023
1111,SSGST-INST-A1-027,PRESSURE GAUGE,1,Other,N/A,AR2000,N/A,0.15~0.9  Mpa & 1.5 ~ 9 BAR,0.02Mpa & 0.2 BAR,03-06-2022,02-05-2023
1111,SSGST-INST-A1-028,POWER METER,1,Other,JDSU,OLP-85,C535,N/A,N/A,14-04-2022,14-03-2023
1111,SSGST-INST-A1-029,POWER METER,1,Other,JDSU,OLP-85,C511,N/A,N/A,14-04-2022,14-03-2023
1111,SSGST-INST-A1-030,POWER METER,1,Other,VLAVI,OLP-85,F617,N/A,N/A,14-04-2022,14-03-2023
1111,SSGST-INST-A1-031,POWER METER,1,Other,VLAVI,OLP-85,F602,N/A,N/A,14-04-2022,14-03-2023
1111,SSGST-INST-A1-032,INTELLIGENT LEAD FREE SOLDERING STATION,1,Other,BAKON,BK3300A,FATP-01,0 ~ 490°C,1°C,01-06-2022,30-07-2022
1111,SSGST-INST-A1-033,INTELLIGENT LEAD FREE SOLDERING STATION,1,Other,BAKON,BK3300A,FATP-02,0 ~ 490°C,1°C,01-06-2022,30-07-2022
1111,SSGST-INST-A1-034,INTELLIGENT LEAD FREE SOLDERING STATION,1,Other,BAKON,BK3300A,FATP-03,0 ~ 490°C,1°C,01-06-2022,30-07-2022
1111,SSGST-INST-A1-035,INTELLIGENT LEAD FREE SOLDERING STATION,1,Other,BAKON,BK3300A,FATP-04,0 ~ 490°C,1°C,01-06-2022,30-07-2022
1111,SSGST-INST-A1-036,DIGITAL TORQUE METER,1,Other,JAPAN TECHNOLOGY,T-100,801493,0~ 100KGF.CM,(±0.3%+1 DIGIT) (±0.5% AT FULL SCALE) AT 25°C & 60% HUMIDITY,07-12-2021,06-11-2022
